カード番号,カード名,レアリティ（星の数）,上,右,下,左
1,おともだち,1,5,5,2,2
2,キミと××××したいだけ,1,1,4,7,1
3,魔性少女,1,3,4,3,3
4,花喰み,1,3,7,2,1
5,乙女心中,1,3,3,3,4
6,ゾクゾク,1,2,5,2,5
7,少女の日の思い出①,1,4,2,3,4
8,少女の日の思い出②,1,2,5,5,2
9,HANAGATAMI,1,6,1,3,4
10,すき、きらい,1,2,2,4,6
11,そっくりさん,1,4,2,5,3
12,ノア,1,5,2,5,2
13,botばっか,1,2,4,3,5
14,薔薇色の月,1,4,3,3,3
15,もーいーかい？,1,4,5,3,3
16,輪廻る,1,2,3,4,4
17,ホラークイーン,1,2,4,5,4
18,ハイネ,1,2,2,7,2
19,[お揃いのしるし]もな,2,5,4,6,5
20,[降霊の占い]もな,2,3,7,5,5
21,[血が見たい]もな,2,6,6,3,4
22,[『あたしだけ』がいい]もな,2,5,3,7,5
23,[我儘も望蜀も]もな,2,2,2,7,7
24,[死体に群がる通俗人等]もな,2,2,7,7,2
25,[逃げ場を亡一味]もな,2,7,7,2,2
26,[花をただ演じていた]もな,2,7,7,3,2
27,[裁きの時]もな,2,6,7,2,3
28,[お揃いのしるし]美雨,2,6,5,3,5
29,[降霊の占い]美雨,2,5,5,5,5
30,[血が見たい]美雨,2,6,2,6,6
31,[ほら虜]美雨,2,1,7,3,7
32,[『あたしだけ』がいい]美雨,2,2,6,3,6
33,[目が覚めて]美雨,2,6,3,7,3
34,[裁きの時]美雨,2,2,7,2,7
35,[失態コミュニケーション]美雨,2,7,2,7,2
36,[曼陀羅華模様の夜]美雨,2,7,6,3,3
37,[お揃いのしるし]凛花,2,4,3,6,6
38,[降霊の占い]凛花,2,3,7,7,1
39,[血が見たい]凛花,2,4,3,7,3
40,[『あたしだけ』がいい]凛花,2,7,3,4,5
41,[水面を揺らす夜光蝶]凛花,2,6,6,6,2
42,[壊したくなった]凛花,2,7,5,5,3
43,[裁きの時]凛花,2,5,5,3,7
44,[今までどこにいたのですか？]凛花,2,2,6,6,6
45,[尖ってない皮肉]凛花,2,4,6,3,6
46,[お揃いのしるし]百花,2,6,3,7,3
47,[降霊の占い]百花,2,7,1,3,7
48,[血が見たい]百花,2,5,6,4,6
49,[ほら虜]百花,2,6,6,2,6
50,[駄々羅な暮らし]百花,2,3,6,7,2
51,[わたしも隣で咲いていた]百花,2,7,3,2,6
52,[裁きの時]百花,2,2,3,6,7
53,[綺麗な緋色]百花,2,2,6,4,7
54,[うねる人身蛇尾]百花,2,7,7,1,3
55,Moth ti a flame,3,7,3,2,8
56,フレイム・メドゥーサ,3,4,7,3,7
57,百鬼夜行,3,7,8,4,2
58,ふぁんとむ♡らんど,3,3,7,3,7
